House Size (Acres),Number of Bedrooms,Number of Bathrooms,Year Built,Distance from City Center (km),Price (Lakhs to Crores)
1.92,6,3,2022,41.17,60.21
4.44,3,4,1991,12.46,100.43
2.94,2,4,1960,2.69,923.12
4.57,5,3,1971,27.47,655.02
1.53,2,2,1950,22.0,129.57
3.8,3,4,1951,21.43,59.71
1.94,6,4,1995,25.45,407.21
2.31,3,2,2005,32.74,808.95
2.96,1,1,2019,45.77,371.84
3.05,5,4,1968,21.14,376.91
0.55,2,2,2015,33.5,943.41
1.9,6,2,1972,2.84,253.27
2.55,1,2,2001,8.67,142.53
3.35,4,2,1954,35.88,875.79
2.38,6,4,2022,48.0,880.93
3.44,4,2,1969,41.6,639.68
2.21,4,3,1986,39.08,858.29
4.5,1,3,1991,34.91,105.38
4.98,6,2,1993,26.92,152.25
2.17,3,2,1990,39.97,513.77
1.63,3,3,1989,21.79,307.32
2.31,5,1,1960,47.84,848.66
0.48,5,4,2006,14.72,11.53
3.27,3,4,1965,18.45,393.54
2.42,4,3,1961,49.55,463.75
0.57,5,1,1957,41.82,554.86
1.14,1,3,2007,7.25,842.29
1.67,6,2,1966,35.8,647.48
3.43,4,4,2009,16.16,960.58
2.79,2,4,2020,28.16,870.4
3.24,1,3,1978,2.99,949.26
2.88,1,4,1962,39.53,682.29
3.45,1,3,2020,46.25,541.9
3.0,1,3,1987,11.89,897.66
3.94,3,1,1970,23.48,938.36
4.78,6,4,1959,38.89,907.37
0.17,4,2,1974,24.36,195.42
4.47,2,3,1979,35.67,479.42
1.67,4,3,1989,14.28,737.93
3.75,6,3,2003,42.4,837.67
3.64,4,1,1959,18.42,948.81
2.6,1,1,2022,32.86,957.77
2.93,4,1,1952,21.02,366.5
0.68,3,1,1952,10.67,954.21
1.67,1,2,1996,1.01,924.04
1.06,5,2,1998,18.76,437.34
1.42,1,2,1967,5.8,881.3
0.38,1,1,2013,4.72,177.54
0.99,5,1,2007,4.99,505.96
1.53,1,4,2022,27.53,746.78
1.01,5,4,2003,6.2,337.9
0.53,3,3,1965,29.39,947.65
4.36,4,4,1979,13.87,980.06
2.93,1,2,1963,41.84,292.43
4.11,6,2,1957,38.12,459.77
2.06,4,2,1984,17.06,810.84
1.47,5,1,1979,41.37,220.32
3.75,4,2,1971,15.52,530.01
3.27,3,2,1951,3.45,97.56
3.69,3,3,1952,42.41,76.89
3.37,5,1,1985,25.25,867.64
4.33,4,4,1980,28.61,363.59
0.71,3,1,2015,47.92,512.97
3.18,1,4,1952,19.1,896.04
2.29,4,4,1971,19.07,409.12
4.05,6,2,1997,47.61,390.1
3.76,5,3,2017,1.34,579.22
4.54,6,1,2001,4.69,695.71
2.2,3,4,1985,44.04,246.25
1.31,2,4,2015,16.69,980.75
3.78,4,3,1953,9.38,533.59
0.29,4,2,1982,24.54,560.95
0.85,3,1,1961,36.89,116.71
0.16,1,2,1999,43.91,403.52
3.11,4,3,2016,11.34,708.07
3.94,6,4,2009,9.32,818.51
4.01,6,1,2014,48.08,267.23
0.64,1,2,1962,48.49,715.18
4.61,6,4,1982,24.56,953.84
2.79,1,1,1986,18.22,504.54
3.47,1,2,2019,14.56,941.85
2.77,5,2,2003,8.56,504.12
1.95,4,3,2002,8.19,407.38
3.27,6,3,1950,11.98,997.84
4.67,1,2,1955,33.67,974.73
3.22,4,4,1951,2.9,753.73
0.41,5,2,2004,39.78,329.26
3.04,6,1,1967,32.2,139.23
3.54,3,1,2000,4.37,693.96
4.92,2,2,1950,27.87,765.63
1.03,3,3,1983,5.13,369.94
2.85,1,2,1970,12.8,765.93
4.23,6,4,1988,44.86,869.7
4.71,1,1,1977,13.43,241.3
2.61,2,4,1982,26.81,26.8
4.39,2,1,1972,7.85,209.78
3.64,3,2,1975,33.34,673.21
1.88,5,1,1950,26.69,274.06
4.63,4,2,2021,26.46,39.16
1.51,1,4,1954,24.91,756.02
0.14,2,1,2017,44.02,364.59
3.31,2,3,2016,43.83,55.62
3.93,1,3,1975,37.69,909.71
0.97,2,3,1960,18.0,288.25
1.1,1,2,1954,1.21,559.03
3.93,2,3,2019,21.43,835.44
0.12,5,3,2020,20.91,869.62
2.2,1,4,1972,3.88,441.77
1.79,6,4,2003,44.78,862.43
2.18,2,4,2005,23.22,741.24
1.86,6,4,2013,20.91,212.69
1.62,2,2,1990,41.04,434.21
